2023.08.30.,여수 만흥동서 빗길 교통사고…30대 운전자 숨져,천정인 기자 = 30일 오후 6시 57분께 전남 여수시 만흥동 한 도로에서 1차로를 주행하던 30대 남성 A씨의 승용차가 중앙분리대와 부딪혔다. 중심을 잃은 차량은 갓길에 조성된 옹벽을 다시 한번 강하게 들이받고 멈춰섰다. 이 사고로 A씨가 크게 다쳐 병원으로 옮겨졌지만 숨졌다. 2차 사고로 이어지지는 않았다. 경찰은 빗길에 차량이 미끄러지면서 발생한 것으로 보고 정확한 사고 경위를 조사 중이다. ,사회,0
2023.08.30.,［速報］北朝鮮　弾道ミサイル発射＝韓国軍,,세계,0
2023.08.30.,N. Korea launches ballistic missile toward East Sea: S. Korean military,"N Korea-missile launchN. Korea launches ballistic missile toward East Sea: S. Korean military SEOUL, Aug. 30 (Yonhap) -- North Korea fired an unspecified ballistic missile toward the East Sea on Wednesday, Seoul's military said, amid an ongoing major military exercise between South Korea and the United States. The Joint Chiefs of Staff announced the launch but did not elaborate further, pending an analysis. The allies kicked off the annual Ulchi Freedom Shield (UFS) exercise on Aug. 21 and it is set to end Thursday. Pyongyang has long accused the allies' military drills of being an invasion rehearsal against it. South Korea and the United States also staged combined air drills, involving at least one U.S. B-1B strategic bomber, above the Korean Peninsula earlier in the day as part of the UFS. (END)",세계,0
2023.08.30.,"[2보] 북, 심야에 탄도미사일 도발…한미연합연습 반발","김승욱 박수윤 기자 = 합동참모본부는 30일 ""북한이 탄도미사일을 동해상으로 발사했다""고 밝혔다. 군은 미사일의 기종과 비행거리 등 자세한 제원을 분석 중이다. 북한이 탄도미사일을 발사한 것은 지난 달 24일 동해상으로 단거리 탄도미사일(SRBM) 2발을 발사한 이후 37일 만이다. 북한의 탄도미사일 발사는 한미연합연습 '을지 자유의 방패'에 반발하는 차원으로 관측된다. ",정치,10
2023.08.30.,美 비자·마스터 신용카드 결제수수료 인상 계획…가맹점은 반발,"이지헌 특파원 = 비자와 마스터카드가 미국 내 신용카드 결제수수료 인상을 계획하고 있다고 미국 월스트리트저널(WSJ)이 30일(현지시간) 사안에 정통한 관계자와 관련 문건을 인용해 보도했다. 보도에 따르면 비자·마스터카드는 오는 10월과 내년 4월부터 온라인 쇼핑을 중심으로 결제 수수료 인상을 계획 중이다. 수수료 인상으로 카드 가맹점에 추가되는 수수료 부담액은 연간 5억200만 달러(약 6천600억원) 수준으로 전망된다고 컨설팅업체 CMSPI는 추산했다. 카드결제 수수료는 가맹점인 판매자가 부담하지만 가격 인상 등을 통해 소비자에게 전가될 수 있다. 시장조사업체 닐슨의 보고서에 따르면 미국 내 신용카드 가맹점은 지난해 비자·마스터카드 수수료로 930억 달러(약 123조원)를 지불했다. 2012년(330억 달러)과 대비해 10년 만에 3배 수준으로 증가한 규모다. 가맹점주들은 비자·마스터카드의 수수료 인상 계획에 부정적이다. 더그 칸토 전미편의점협회 고문은 많은 사업체가 팬데믹에서 여전히 회복 중이며 고물가와 고금리로 이미 타격을 받은 상태라며 ""카드 수수료를 인상하기엔 시기와 여건이 모두 나쁜 상황""이라고 비판했다. 신용카드 가맹점들의 수수료 부담이 커지면서 미국 정치권도 관심을 보이고 있다. 민주당 소속 피터 웰치(버몬트) 상원의원, 공화당 소속 J.D. 밴스(오하이오) 상원의원 등은 지난 6월 카드 가맹점이 비자·마스터카드 결제망을 거치지 않고서도 해당 카드 결제 정보를 처리할 수 있게 하는 법안을 발의한 바 있다. ",경제,0
2023.08.30.,"국방비서관, 채상병 사건에 ""해병대 사령관과 7월31일 통화안해""(종합)","정아란 기자 = 임기훈 국가안보실 국방비서관은 30일 해병대 채모 상병 순직 사건의 경찰 이첩 보류와 관련해 ""7월 31일 해병대 사령관과 통화한 적이 없다""고 밝혔다. 임 비서관은 이날 국회 운영위원회 전체회의에 출석해 '7월 31일 해병대 사령관과 통화한 사실이 있느냐'는 더불어민주당 윤준병 의원 질의에 이같이 답했다. 임 비서관은 이번 사태와 관련해 김계환 해병대 사령관과 통화한 인물로 일부 언론에 거론돼 왔다. 박정훈 전 해병대 수사단장이 최근 국방부 검찰단에 제출한 진술서와 녹취 파일 등에 따르면 박 전 단장은 지난 7월 31일 김 사령관으로부터 '청와대 군사 보좌관'과 통화했다는 설명과 함께 ""오전 대통령실에서 VIP(대통령) 주재 회의에서 1사단 수사 결과에 대한 언급이 있었고 VIP가 격노했다""는 이야기를 들었다고 했다. 임 비서관 답변은 이종섭 국방부 장관이 결재했던 해당 사건의 경찰 이첩이 7월 31일 갑자기 보류되고 같은 날 언론 브리핑도 취소된 배경에 대통령실 외압이 작용했다는 의혹을 부인한 것으로 해석된다. 임 비서관은 군당국으로부터 언론 브리핑 자료를 제출받은 과정과 관련해 이 장관을 거명했다가 이후 이를 거둬들이기도 했다. 그는 민주당 김영배 의원의 관련 질의에 ""언론 브리핑 자료를 확인하라고 제가 해당 행정관에게 얘기했다""며 ""제가 자의적으로 판단했다""고 말했다. 이어 '다음날 언론 브리핑 사실을 어떻게 인지했느냐'는 김 의원 질의에 ""국방장관과 사전에, 그 다음날 14시에 (브리핑이) 있다는 걸 인지하고 있었다""고 답한 뒤, 통화 시점을 두고서는 ""안보 현안을 갖고 수시로 통화하기 때문""이라고 설명했다. '장관으로부터 31일 2시 언론 브리핑 사실을 들었다고 한 것 아니냐'는 추가 질의에 ""여러 경로의 출처를 통해서""라며 ""통상적인 언론 브리핑 자료는 공유한다""고 말했다. 임 비서관은 이후 ""수사계획서는 수사단에 요구한 적이 단 한 번도 없다""며 ""담당 행정관이 수사단장에게 조사가 진행될 텐데 자료가 필요한 것이 있냐 해서 수사단장이 준 게 1장짜리 타이핑된 자료""라고 밝혔다. 이어 ""언론 브리핑이 있다는 것은 여러 경로를 통해 알고 있었기에 확인해 보라고 (행정관에게) 했고 30일 저녁에 (브리핑 자료가) 전달된 것으로 이해하는데 실제 제가 받아본 것은 31일 아침이었다""며 ""아까 국방장관을 말했는데 언론 브리핑이 31일 예정돼 있다는 것을 알게 된 것은 장관(을 통해서)이기 보다는 국방부와 지속적인 소통을 하다 알게 된 것""이라고 해명했다. 조태용 국가안보실장도 '국방비서관과 해병대사령관이 통화했다는 보도가 있다'는 윤 의원 질의에 ""저뿐 아니라 국방장관과 해병대 사령관도 사실이 아닌 것으로 얘기하고 있다""고 말했다. ",정치,1
2023.08.30.,(URGENT) N. Korea fires ballistic missile toward East Sea: S. Korean military,(URGENT) N Korea-missile launch(URGENT) N. Korea fires ballistic missile toward East Sea: S. Korean military(END),세계,0
2023.08.30.,독일 역성장 위기속 대규모 기업 감세…4년간 46조원(종합),"이율 특파원 신유리 기자 = 독일 정부가 침체에 빠진 경기를 부양하기 위해 4년간 46조원에 달하는 대규모 기업 감세에 나섰다. 독일 신호등(사회민주당·빨강, 자유민주당·노랑, 녹색당·초록) 연립정부는 29∼30일(현지시간) 독일 브란덴부르크주 메제베르크성에서 비공개 내각 심화 회의를 열고, 내년부터 4년에 걸쳐 법인세 320억 유로(45조9천억원)를 감면하는 '성장기회법' 추진에 합의했다고 발표했다. 법안은 중소기업에 연간 70억 유로(10조원) 정도의 세금 부담을 덜어주는 방안 등을 골자로 한다. 기업이 기후보호를 위해 에너지효율을 높이는 투자를 하는 경우 15%의 보조금을 지급한다. 주택건설 촉진을 위해서도 한시적으로 세액공제를 해주고, 기업이 낸 손실을 이익과 상계할 수 있는 폭을 확대한다. 올라프 숄츠 독일 총리는 ""경기 상황상 더 큰 성장을 달성할 수 있는 만큼, 성장세가 되살아날 수 있도록 전력투구할 것""이라고 말했다. 그러면서 그는 감세가 ""우리나라의 성장을 촉진하려는 것""이라며 이에 따라 기업이 투자 결정을 확정지을 수 있을 것이라고 덧붙였다. 그는 ""우리는 독일 특유의 높은 속도로 시행에 나서야 한다""고 강조했다. 앞서 독일 연정은 이번 성장기회법 협상에서 내부적 이견을 좁히지 못하다가 극적으로 타결했다. 이 법안은 연방하원에서 논의를 거쳐 16개주와 지자체들의 동의를 받아야 시행이 가능하다. 이런 대규모 감세계획은 독일 경제가 지난해 4분기(-0.4%)에 이어 올해 1분기(-0.1%)까지 2분기 연속 마이너스 성장하면서 경기 침체에 빠진 가운데 나온 것이다. 2분기에도 0%에 그치면서 앞서 제기된 연간 마이너스 성장 전망에 힘이 실리게 됐다. 국제통화기금(IMF)이 세계경제 전망 수정치에서 올해 독일 경제가 0.3% 마이너스 성장할 것으로 전망하면서 독일은 주요국 중 나홀로 역성장 위기에 직면한 상황이다. 독일경제연구소(IW)는 전날 올해 독일 경제가 0.5% 역성장할 것이라는 전망을 내놨다. 고금리에 에너지 가격 상승, 수출 약세 때문이다. 독일 정부는 이밖에 관료주의적 행정절차를 축소한다는 차원에서 기업 장부 보관 기한을 10년에서 8년으로 줄이고, 호텔에서 모든 손님에 대해 신고서 작성을 폐지할 계획이다. 독일은 또 내년부터 병의원에 전자처방전을 표준규격으로 도입하고, 2025년에는 모든 공보험 가입자를 상대로 전자환자카드를 도입할 예정이다. 행정사무 부문에 있어서 인공지능(AI) 도입을 위한 기술적 법적 근거 마련에도 돌입한다. 독일 정부는 다만, 산업계에 대한 전기요금 보조금 지급에 대해서는 합의하지 못했다. , ",세계,1
2023.08.30.,"[1보] 합참 ""북한, 동해상으로 탄도미사일 발사""",,정치,7
2023.08.31.,허리케인 이달리아 플로리다 서부 상륙…홍수·정전 피해 잇따라,"강병철 특파원 = 한때 풍속이 200㎞를 넘었던 허리케인 이달리아가 플로리다주 서쪽 해안으로 상륙하면서 바람과 해일 등으로 인해 정전, 홍수 등의 피해가 잇따르고 있다. 이달리아는 30일(현지시간) 오전 7시45분에 플로리다주 탤러해시와 게인스빌 사이에 위치한 빅벤드 지역의 키튼 비치로 상륙했다. 플로리다주에 접근하면서 카테고리 4등급까지 세력을 키웠던 이달리아는 상륙시에는 풍속 205㎞의 카테고리 3등급으로 낮아졌으며 1시간 뒤에는 다시 카테고리 2등급(최고 풍속 175㎞)으로 약화했다고 AP통신 등이 보도했다. 허리케인은 1~5등급으로 분류되며 숫자가 클수록 강력하다는 의미다. 3등급부터는 메이저 허리케인으로 불린다. 이달리아는 플로리다를 관통해 조지아주, 사우스·노스캐롤라이나로 이동할 것으로 예상되며 이 과정에서 열대성 폭풍으로 세력이 약화할 것으로 보인다. 강풍으로 나무가 쓰러지고 전선이 끊어져 현재 걸프만 인근의 24만 가구가 정전된 상태이며 해안선을 따라 일부 주택의 경우는 지붕 근처까지 물에 잠겼다. 시더키 섬에는 2ｍ, 이스트 베이 탬파에는 1.4ｍ 높이의 폭풍 해일이 발생했으며 일부 지역의 경우 해일이 4.9ｍ까지 높아질 수 있다고 국립허리케인센터는 경고했다. 전신주가 쓰러지면서 75번 간선도로 일부 구간과, 탬파와 세인트피터즈버그를 잇는 선샤인 스카이웨이 다리 등이 폐쇄됐다. 4천500명 이상이 적십자가 마련한 대피소에 머물고 있으며 이달리아 경로상에 위치한 지역에서는 주민들에게 대피 안내가 계속되고 있다. 플로리다주 67개 카운티 가운데 30곳에 전체 또는 부분적으로 대피 명령이 내려진 상태다. 또 일부 카운티는 통행금지 조치도 시행했다.론 디샌티스 플로리다 주지사는 이날 기자회견에서 ""멍청한 짓을 해서 목숨을 위험에 빠트리지 말라""면서 ""이번 허리케인은 강력하다. 실내에 있다면 허리케인이 통과할 때까지 몸을 웅크리고 있어 달라""고 말했다. 플로리다주는 조기 피해복구를 위해 대기 중인 2만5천명의 공공서비스 근로자에 더해 3만명을 추가로 동원했으며 5천500명의 주 방위군도 소집돼 허리케인 대응을 지원하고 있다. ",세계,0
